"","FECHA_Q","FECHA_A","IDENT_ACREEDORA","IDENT_DEUDORA","PRESTAMOS","IDENT","A_ActivoN","A_APRestamos","A_GRUPO_ID_UNI","D_ActivoN","D_APRestamos","D_GRUPO_ID_UNI","_merge","W_A_A","W_A_PR","FECHA_D","W_D_A","W_D_A_w","W_D_PR","W_D_PR_w","weight"
"889",1998 Q1,1998,147,303,2327.39990234375,303,267792.65625,181587.328125,1,27233,16350.3330078125,3,3,0.00869105197489262,0.0128169730305672,1998-01-01,0.0854624882340431,0.0854624882340431,0.14234571158886,0.14234571158886,1.28169730305672
"890",1998 Q3,1998,147,303,3184.60009765625,303,387595.65625,225297,1,28733,17131.666015625,3,3,0.00821629445999861,0.0141351195052266,1998-07-01,0.110834233462811,0.110834233462811,0.185889691114426,0.185889691114426,1.41351195052266
"891",1998 Q1,1998,147,322,1580.69995117188,322,267792.65625,181587.328125,1,129299,85622,3,3,0.00590270105749369,0.0087049026042223,1998-01-01,0.0122251519933343,0.0122251519933343,0.0184613764286041,0.0184613764286041,0.87049026042223
"892",1998 Q3,1998,147,322,1291.14990234375,322,387595.65625,225297,1,115432.6640625,79982.6640625,3,3,0.00333117740228772,0.00573087902739644,1998-07-01,0.0111853079870343,0.0111853079870343,0.0161428712308407,0.0161428712308407,0.573087902739644
"893",1998 Q1,1998,147,44068,3541.30004882812,44068,267792.65625,181587.328125,1,25003.666015625,17345.333984375,9,3,0.0132240373641253,0.0195019114762545,1998-01-01,0.141631230711937,0.141631230711937,0.204164415597916,0.204164415597916,1.95019114762545
"894",1998 Q3,1998,147,44068,2690.30004882812,44068,387595.65625,225297,1,27526.333984375,18293.333984375,9,3,0.00694099627435207,0.0119411265477538,1998-07-01,0.0977355018258095,0.0977355018258095,0.147064507007599,0.147064507007599,1.19411265477538
"895",1998 Q1,1998,147,44086,314.200012207031,44086,267792.65625,181587.328125,1,61077,33764,9,3,0.00117329589556903,0.00173029699362814,1998-01-01,0.00514432601630688,0.00514432601630688,0.00930576957762241,0.00930576957762241,0.173029699362814
"896",1998 Q3,1998,147,44086,66,44086,387595.65625,225297,1,66817,35823,9,3,0.000170280545717105,0.000292946642730385,1998-07-01,0.000987772597000003,0.000987772597000003,0.00184239179361612,0.00184239179361612,0.0292946642730385
"897",1998 Q1,1998,147,44087,30,44087,267792.65625,181587.328125,1,4728,2932,9,3,0.000112026973511092,0.000165209770784713,1998-01-01,0.00634517753496766,0.00634517753496766,0.0102319233119488,0.0102319233119488,0.0165209770784713
"898",1998 Q3,1998,147,44087,30,44087,387595.65625,225297,1,4170.5,2594.5,9,3,7.7400247391779e-05,0.000133157562231645,1998-07-01,0.00719338189810514,0.00719338189810514,0.0115629211068153,0.0115629211068153,0.0133157562231645
"899",1998 Q1,1998,147,64123,253,64123,267792.65625,181587.328125,1,5998,4978,7,3,0.000944760802667588,0.00139326904900372,1998-01-01,0.0421807281672955,0.0421807281672955,0.050823625177145,0.050823625177145,0.139326904900372
"900",1998 Q3,1998,147,64123,339.149993896484,64123,387595.65625,225297,1,4818,3737.5,7,3,0.000875009805895388,0.0015053462702781,1998-07-01,0.0703922808170319,0.0703922808170319,0.0907424762845039,0.0907424762845039,0.15053462702781
"901",1998 Q4,1998,150,16,4662,16,4720692.5,2438604.75,1,8506670,4149257,6,3,0.000987567007541656,0.00191174889914691,1998-10-01,0.000548040552530438,0.000548040552530438,0.0011235746787861,0.0011235746787861,0.191174889914691
"902",1998 Q1,1998,150,17,30,17,3723472.75,2232392,1,6876226.5,3492779.75,1,3,8.05699437478324e-06,1.34384999910253e-05,1998-01-01,4.36285790783586e-06,4.36285790783586e-06,8.5891470007482e-06,8.5891470007482e-06,0.00134384999910253
"903",1998 Q4,1998,150,17,34.9000015258789,17,4720692.5,2438604.75,1,9282562,4679021.5,1,3,7.3929836617026e-06,1.43114630191121e-05,1998-10-01,3.75973809241259e-06,3.75973809241259e-06,7.45882471164805e-06,7.45882471164805e-06,0.00143114630191121
"904",1998 Q3,1998,150,67,7501.7001953125,67,4115712,2310125,1,3670407,2532807,1,3,0.0018226980464533,0.0032473134342581,1998-07-01,0.00204383325763047,0.00204383325763047,0.00296181277371943,0.00296181277371943,0.32473134342581
"905",1998 Q3,1998,150,153,102.300003051758,153,4115712,2310125,1,1024506.6875,460435.65625,3,3,2.48559681494953e-05,4.42833188571967e-05,1998-07-01,9.98529358184896e-05,9.98529358184896e-05,0.00022218088270165,0.00022218088270165,0.00442833188571967
"906",1998 Q1,1998,150,271,5.90000009536743,271,3723472.75,2232392,1,568671.6875,347740.34375,3,3,1.58454236043326e-06,2.64290497398179e-06,1998-01-01,1.03750553535065e-05,1.03750553535065e-05,1.69666818692349e-05,1.69666818692349e-05,0.000264290497398179
"907",1998 Q3,1998,150,271,0.300000011920929,271,4115712,2310125,1,573624.6875,366234.34375,3,3,7.28914031355998e-08,1.29863110487349e-07,1998-07-01,5.229900921222e-07,5.229900921222e-07,8.19147658148722e-07,8.19147658148722e-07,1.29863110487349e-05
"908",1998 Q4,1998,150,271,0.300000011920929,271,4720692.5,2438604.75,1,601116.6875,360069.65625,3,3,6.35499972645448e-08,1.23021166587023e-07,1998-10-01,4.99071177273436e-07,4.99071177273436e-07,8.33172180136899e-07,8.33172180136899e-07,1.23021166587023e-05
"909",1998 Q1,1998,150,281,863.5,281,3723472.75,2232392,1,187569,109455,1,3,0.000231907164561562,0.000386804837035015,1998-01-01,0.00460363924503326,0.00460363924503326,0.00788908638060093,0.00788908638060093,0.0386804837035015
"910",1998 Q3,1998,150,281,486.200012207031,281,4115712,2310125,1,189194.328125,97790.6640625,1,3,0.000118132658826653,0.000210464801057242,1998-07-01,0.00256984448060393,0.00256984448060393,0.00497184507548809,0.00497184507548809,0.0210464801057242
"911",1998 Q3,1998,150,44059,9283.7998046875,44059,4115712,2310125,1,487081,449930,8,3,0.00225569703616202,0.00401874352246523,1998-07-01,0.0190600734204054,0.0190600734204054,0.0206338763237,0.0206338763237,0.401874352246523
"912",1998 Q1,1998,150,44068,501.600006103516,44068,3723472.75,2232392,1,25003.666015625,17345.333984375,9,3,0.000134712958242744,0.000224691728362814,1998-01-01,0.0200610589236021,0.0200610589236021,0.0289184395223856,0.0289184395223856,0.0224691728362814
"913",1998 Q3,1998,150,44068,501.650024414062,44068,4115712,2310125,1,27526.333984375,18293.333984375,9,3,0.000121886572742369,0.000217152759432793,1998-07-01,0.0182243678718805,0.0182243678718805,0.027422558516264,0.027422558516264,0.0217152759432793
"914",1998 Q4,1998,150,44068,502.100006103516,44068,4720692.5,2438604.75,1,26884,17939.333984375,9,3,0.00010636151273502,0.000205896430998109,1998-10-01,0.0186765361577272,0.0186765361577272,0.0279887765645981,0.0279887765645981,0.0205896430998109
"915",1998 Q3,1998,150,44092,10015.900390625,44092,4115712,2310125,1,NA,NA,NA,1,0.00243357662111521,0.00433565303683281,1998-07-01,NA,NA,NA,NA,0.433565303683281
"916",1998 Q4,1998,150,44092,10195.900390625,44092,4720692.5,2438604.75,1,NA,NA,NA,1,0.00215983157977462,0.00418103858828545,1998-10-01,NA,NA,NA,NA,0.418103858828545
"917",1998 Q3,1998,150,44093,2008.59997558594,44093,4115712,2310125,1,NA,NA,NA,1,0.000488032208522782,0.000869476760271937,1998-07-01,NA,NA,NA,NA,0.0869476760271937
"918",1998 Q4,1998,150,44093,10963.900390625,44093,4720692.5,2438604.75,1,NA,NA,NA,1,0.00232251943089068,0.00449597276747227,1998-10-01,NA,NA,NA,NA,0.449597276747227
"919",1998 Q1,1998,150,45008,4012.89990234375,45008,3723472.75,2232392,1,26087,12965,9,3,0.00107773044146597,0.00179757853038609,1998-01-01,0.153827577829361,0.153827577829361,0.309517920017242,0.309517920017242,0.179757853038609
"920",1998 Q1,1998,153,3,5006.2001953125,3,1059708.625,402553,3,1105880.375,330058.65625,6,3,0.00472412910312414,0.0124361272901297,1998-01-01,0.00452689127996564,0.00452689127996564,0.0151676079258323,0.0151676079258323,1.24361272901297
"921",1998 Q3,1998,153,3,3501.19995117188,3,1024506.6875,460435.65625,3,1273144,412180.34375,6,3,0.00341744953766465,0.00760410260409117,1998-07-01,0.00275004236027598,0.00275004236027598,0.00849433988332748,0.00849433988332748,0.760410260409117
"922",1998 Q3,1998,153,5,4000.69995117188,5,1024506.6875,460435.65625,3,1923156,698257.3125,6,3,0.00390500132925808,0.00868894439190626,1998-07-01,0.00208027847111225,0.00208027847111225,0.00572954956442118,0.00572954956442118,0.868894439190626
"923",1998 Q3,1998,153,6,0.550000011920929,6,1024506.6875,460435.65625,3,1030066.3125,715453.6875,1,3,5.3684374279328e-07,1.19452090530103e-06,1998-07-01,5.3394620636027e-07,5.3394620636027e-07,7.68743007029116e-07,7.68743007029116e-07,0.000119452090530103
